net,length_um
clknet_4_15__leaf_clk,261.76
_0408_,261.75
_0206_,261.04
_0286_,260.5
_0283_,259.9
_0282_,257.24
_0248_,256.58
_0055_,255.2
_0045_,254.39
_0451_,254.2
_0500_,254.08
_0593_,254.08
_0174_,253.98
_0572_,252.98
_0105_,251.8
_0032_,250.82
_0403_,249.2
clknet_4_12__leaf_clk,247.64
_0309_,246.66
Module2.RegisterFile\[5\]\[0\],246.35
_0275_,246.3
_0566_,245.46
_0608_,245.3
net40,245.08
_0501_,244.655
_0419_,244.06
_0041_,243.56
_0200_,243.24
_0135_,243.04
_0568_,241.74
_0247_,241.54
_0037_,239.5
_0582_,237.34
_0081_,237.205
_0211_,237.1
_0015_,234.47
_0149_,234.22
clknet_4_1__leaf_clk,233.56
_0405_,230.94
_0061_,230.64
_0430_,229.48
_0371_,228.93
clknet_4_2__leaf_clk,228.67
_0465_,228.06
_0060_,227.74
_0146_,227.74
_0461_,226.28
_0150_,226
_0604_,224.26
_0005_,223.78
Module2.RegisterFile\[26\]\[0\],222.535
_0107_,221.88
_0600_,221.84
Module2.RegisterFile\[25\]\[1\],221.08
_0575_,218
Module1.outputC\[2\],216.625
net36,216.5
_0533_,216.42
_0151_,215.1
_0438_,214.32
_0540_,213.84
_0097_,212.86
_0618_,212.62
_0534_,211.86
_0393_,211.42
_0354_,209.56
_0467_,208.84
_0459_,205.28
clknet_4_3__leaf_clk,204.74
_0133_,204.14
_0370_,202.38
_0490_,201.58
_0070_,197.96
_0000_,197.7
_0084_,197.7
_0052_,197.48
_0028_,197.24
_0300_,196.76
_0373_,196.6
_0256_,195.66
_0472_,194.12
_0528_,192.54
_0595_,191.44
_0492_,189.17
_0612_,187.74
_0039_,184.92
_0020_,182.58
_0138_,182.305
_0619_,181.24
_0304_,180.6
_0042_,179.86
_0182_,178.1
_0230_,176.76
_0056_,176.28
_0250_,175.16
_0577_,174.3
_0294_,173.655
_0057_,173.38
_0169_,173.22
_0395_,173.08
_0486_,172.18
_0440_,171.42
clknet_4_6__leaf_clk,171.42
_0285_,171.37
_0444_,171.14
_0143_,170.4
_0095_,170.34
_0024_,169.16
_0036_,169.08
_0083_,168.56
_0253_,167.96
_0339_,167.26
_0518_,166.36
_0281_,166
_0016_,165
_0085_,163.8
_0252_,163.24
_0353_,162.08
_0013_,161.22
_0443_,159.9
clknet_4_7__leaf_clk,159.48
_0123_,157.74
_0233_,157.12
_0401_,156.06
_0514_,155.305
_0126_,155.1
_0274_,154.32
_0197_,153.96
_0131_,151.56
